stock_code,company_name,broker,analyst,report_date,report_title,forecast_year,revenue_hundred_million_cny,net_profit_hundred_million_cny,eps_cny,rating,source_url,source_type,extraction_confidence,notes
601012,隆基绿能,光大证券,"殷中枢;郝骞",2026-05-06,2025年年报&2026年一季报点评,2026,,4.88,,买入（维持）,https://www.china5e.com/news/news-1203245-1.html,public_reprint,high,"页面明确披露2026-2028归母净利润；未披露收入和EPS"
601012,隆基绿能,光大证券,"殷中枢;郝骞",2026-05-06,2025年年报&2026年一季报点评,2027,,28.38,,买入（维持）,https://www.china5e.com/news/news-1203245-1.html,public_reprint,high,"页面明确披露2026-2028归母净利润；未披露收入和EPS"
601012,隆基绿能,光大证券,"殷中枢;郝骞",2026-05-06,2025年年报&2026年一季报点评,2028,,56.52,,买入（维持）,https://www.china5e.com/news/news-1203245-1.html,public_reprint,high,"页面明确披露2026-2028归母净利润；未披露收入和EPS"
601012,隆基绿能,东吴证券,"曾朵红;郭亚男;徐铖嵘",2026-04-30,2025年年报&2026年一季报点评：短期业绩承压，BC出货高增,2026,702.61,2.4742,0.03,买入（维持）,https://stock.stockstar.com/JC2026043000058403.shtml,public_reprint,high,"证券之星页面抽取完整预测表；东方财富PDF链接为https://pdf.dfcfw.com/pdf/H3_AP202604301821839712_1.pdf"
601012,隆基绿能,东吴证券,"曾朵红;郭亚男;徐铖嵘",2026-04-30,2025年年报&2026年一季报点评：短期业绩承压，BC出货高增,2027,898.42,36.443,0.48,买入（维持）,https://stock.stockstar.com/JC2026043000058403.shtml,public_reprint,high,"证券之星页面抽取完整预测表；东方财富PDF链接为https://pdf.dfcfw.com/pdf/H3_AP202604301821839712_1.pdf"
601012,隆基绿能,东吴证券,"曾朵红;郭亚男;徐铖嵘",2026-04-30,2025年年报&2026年一季报点评：短期业绩承压，BC出货高增,2028,1043.90,57.3948,0.76,买入（维持）,https://stock.stockstar.com/JC2026043000058403.shtml,public_reprint,high,"证券之星页面抽取完整预测表；东方财富PDF链接为https://pdf.dfcfw.com/pdf/H3_AP202604301821839712_1.pdf"
601012,隆基绿能,华安证券,"张志邦;王璐",2025-11-11,25Q3同环比大幅减亏，BC组件出货放量,2025,676,-36,-0.47,买入（维持）,https://pdf.dfcfw.com/pdf/H3_AP202511111779303828_1.pdf,public_pdf,medium,"公开搜索命中EPS预测；转载页可提取收入和归母净利润但编码异常，需PDF二次核验"
601012,隆基绿能,华安证券,"张志邦;王璐",2025-11-11,25Q3同环比大幅减亏，BC组件出货放量,2026,723,20,0.26,买入（维持）,https://pdf.dfcfw.com/pdf/H3_AP202511111779303828_1.pdf,public_pdf,medium,"公开搜索命中EPS预测；转载页可提取收入和归母净利润但编码异常，需PDF二次核验"
601012,隆基绿能,华安证券,"张志邦;王璐",2025-11-11,25Q3同环比大幅减亏，BC组件出货放量,2027,742,49,0.64,买入（维持）,https://pdf.dfcfw.com/pdf/H3_AP202511111779303828_1.pdf,public_pdf,medium,"公开搜索命中EPS预测；转载页可提取收入和归母净利润但编码异常，需PDF二次核验"
601012,隆基绿能,民生证券,"邓永康;朱碧野;王一如;林誉韬",2025-11-04,2025年三季报点评：25Q3环比减亏，坚定BC技术领先,2025,701.99,-40.19,,推荐（维持）,https://www.fxbaogao.com/detail/5134493,public_reprint,high,"发现报告页面明确披露2025-2027营收和归母净利润；未直接披露EPS"
601012,隆基绿能,民生证券,"邓永康;朱碧野;王一如;林誉韬",2025-11-04,2025年三季报点评：25Q3环比减亏，坚定BC技术领先,2026,825.76,25.77,,推荐（维持）,https://www.fxbaogao.com/detail/5134493,public_reprint,high,"发现报告页面明确披露2025-2027营收和归母净利润；未直接披露EPS"
601012,隆基绿能,民生证券,"邓永康;朱碧野;王一如;林誉韬",2025-11-04,2025年三季报点评：25Q3环比减亏，坚定BC技术领先,2027,900.24,49.04,,推荐（维持）,https://www.fxbaogao.com/detail/5134493,public_reprint,high,"发现报告页面明确披露2025-2027营收和归母净利润；未直接披露EPS"
601012,隆基绿能,平安证券,"皮秀;刘丰",2025-05-01,盈利水平持续承压，全力布局BC技术,2025,725.92,-26.35,,推荐（维持）,https://reportify.cn/reports/1115454989439995904,public_reprint,high,"Reportify页面披露收入和净利润；东方财富PDF搜索命中2026E/2027E EPS但本页未展示"
601012,隆基绿能,平安证券,"皮秀;刘丰",2025-05-01,盈利水平持续承压，全力布局BC技术,2026,821.65,10.34,0.14,推荐（维持）,https://reportify.cn/reports/1115454989439995904,public_reprint,medium,"Reportify页面披露收入和净利润；EPS来自东方财富PDF搜索命中，需PDF二次核验"
601012,隆基绿能,平安证券,"皮秀;刘丰",2025-05-01,盈利水平持续承压，全力布局BC技术,2027,922.76,32.14,0.42,推荐（维持）,https://reportify.cn/reports/1115454989439995904,public_reprint,medium,"Reportify页面披露收入和净利润；EPS来自东方财富PDF搜索命中，需PDF二次核验"
